1;48.71;-32.15;8.49
2;-21.08;-216.34;-48.26
3;-65.87;-224.65;-50.41
4;-82.27;-227.86;-54.11
5;-110.51;-233.44;-55.79
6;-122.33;-236.38;-56.67
7;-137.14;-240.17;-57.96
8;-143.12;-242.37;-58.56
9;-162.49;-248.46;-57.96
10;-174.14;-252.38;-56.51
11;-180.04;-254.29;-55.81
12;-204.82;-265.15;-54.81
13;-219.49;-270.48;-52.91
14;-228.65;-273.76;-51.76
15;-235.72;-277.39;-50.87
16;-257.53;-288.87;-48.24
17;-146.21;-240.75;-59.19
18;-168.34;-246.36;-58.65
19;-171.99;-247.17;-58.41
20;-179.73;-248.93;-57.93
21;-212.85;-255.49;-55.81
22;-230.37;-257.74;-53.88
23;-239.1;-259.26;-53.07
24;-251.77;-262.91;-51.88
25;-253.82;-263.35;-51.88
26;-269.43;-268.8;-50
27;-179.64;-243.79;-60.51
28;-202.21;-246.73;-61.43
29;-215.61;-246.64;-62.69
30;-226.36;-247.05;-64.05
31;-237.5;-248.56;-64.04
32;-264.79;-250.08;-59.8
33;-273.63;-250.59;-58.44
34;-22.46;-235.13;-35.09
35;-73.93;-236.99;-49.04
36;-81.43;-244.09;-48.29
37;-69.82;-255.63;-45.61
38;-91.05;-237.23;-52.45
39;-97.12;-243.63;-51.31
40;-88.62;-241.42;-50.77
41;-122.19;-252.46;-53.7
42;-130;-256.96;-52.93
43;-136.73;-264.2;-52.06
44;-128.96;-261.59;-51.6
45;-129.72;-243.68;-55.67
46;-138.56;-250.97;-54.67
47;-152.31;-256.19;-52.38
48;-159.56;-258.95;-51.17
49;-155.32;-282.99;-39.15
50;-178.96;-260.34;-53.12
51;-217.48;-278.08;-48.46
52;-225.17;-286.57;-45.37
53;-253.18;-278.62;-49.57
54;-223.25;-252.38;-58.28
55;-230.91;-251.45;-60.57
56;-236.68;-256.08;-55.54
57;-244.37;-255.28;-54.66
58;-254.12;-255.58;-57.38
