2.94,3.57
-122.18,-206.57
-135.57,-186.67
-131.54,-183.34
-116.81,-160.73
-115.83,-159.44
-89.95,-128.42
-124.98,-190.56
-120.73,-184.89
-118.14,-181.9
-105.62,-164.04
-79.85,-122.33
-115.13,-199.11
-107.06,-193.13
-100.44,-183.29
-92.38,-170.57
-92,-169.98
-83.89,-148.46
-57.39,-107.47
-99.77,-200.89
-97.16,-197.63
-82.43,-169.27
-70.18,-145.47
-59.04,-134.55
-141.76,-174.88
-124.78,-159.19
-116.17,-149.32
-155.89,-174.75
-171.05,-211.21
-200.52,-213.65
-218.87,-215.22
-258.24,-215.79
-287.39,-211.55
-303.05,-210.13
-154.44,-177.68
-194.08,-206.12
-271.72,-223.93
-291.29,-215.04
