2.94,3.57,1.84,5.508929116
0.11,-1.06,0.89,30.19331714
-13.23,-25.64,-10.49,41.10316411
-28.75,-62.73,-19.03,11.82369232
-30.69,-74.38,-19.59,41.21695404
-23.09,-113,-31.82,22.93509102
-23.31,-135.76,-34.64,10.58386035
-22.52,-145.18,-39.4,11.02190546
-21.74,-154.3,-45.54,7.998337327
-20.48,-162.17,-46.21,3.033067754
-20.97,-165.04,-45.36,17.9405156
-26.33,-182.14,-46.21,18.61321036
-42.37,-190.74,-50.11,26.47594758
-67.94,-197.21,-52.41,6.328578039
-74,-198.68,-53.49,7.917259627
-81.65,-200.66,-53,15.32804945
-96.32,-204.57,-55.11,0.9309135298
-97.21,-204.81,-55.24,0.7457881737
-97.92,-205.01,-55.35,4.697041622
-102.55,-204.23,-55.48,14.19541475
-116.62,-205.91,-56.33,5.609349338
-122.18,-206.57,-56.67,0
-122.18,-206.57,-56.67,1.066817698
-122.3,-205.51,-56.68,10.60818552
-128.04,-196.83,-58.74,1.219836055
-128.96,-196.03,-58.78,0.8940357935
-129.68,-195.5,-58.78,0.2893095228
-129.9,-195.33,-58.7,10.18049115
-135.04,-187.35,-62.38,0.8621484791
-135.57,-186.67,-62.38,0
-135.57,-186.67,-62.38,0.9340770846
-134.83,-186.1,-62.38,4.313907741
-131.54,-183.34,-61.97,0
-131.54,-183.34,-61.97,4.84273683
-127.84,-180.23,-62.27,6.483903145
-124.59,-174.62,-62.19,10.30162609
-120.24,-165.29,-61.8,3.093961861
-118.38,-162.82,-61.69,2.615549655
-116.81,-160.73,-61.6,0
-116.81,-160.73,-61.6,1.621141573
-115.83,-159.44,-61.54,206.4579233
-115.83,-159.44,-61.54,15.04202114
-104.75,-149.28,-61.02,12.78707551
-96.03,-139.93,-60.8,13.09656825
-89.95,-128.42,-59.36,0
-120.73,-184.89,-58.5,1.595650338
-121.78,-186.09,-58.56,5.498263362
-124.98,-190.56,-58.66,0
-118.14,-181.9,-58.36,3.958257192
-120.73,-184.89,-58.5,0
-105.62,-164.04,-57.42,4.089266438
-106.91,-167.92,-57.48,4.945684988
-109.6,-172.06,-57.77,6.800139704
-114.05,-177.19,-58.12,6.242579595
-118.14,-181.9,-58.36,0
-105.62,-164.04,-57.42,0.6420280368
-105.42,-163.43,-57.41,25.27581255
-93.67,-141.14,-59.4,23.39188107
-79.85,-122.33,-57.86,0
-107.06,-193.13,-56.14,10.05563026
-115.13,-199.11,-56.62,0
-100.44,-183.29,-55.96,11.86096118
-107.06,-193.13,-56.14,0
-92.38,-170.57,-55.77,15.0598174
-100.44,-183.29,-55.96,0
-92,-169.98,-55.76,0.7018546858
-92.38,-170.57,-55.77,0
-83.89,-148.46,-55.67,15.65301568
-87.94,-163.58,-55.67,7.579689967
-92,-169.98,-55.76,0
-57.39,-107.47,-55.24,3.599194354
-57.64,-111.06,-55.3,20.77191132
-67.59,-129.29,-55.67,24.44275148
-83.68,-147.69,-55.67,0.7981227976
-83.89,-148.46,-55.67,0
-97.16,-197.63,-55.65,4.17705638
-99.77,-200.89,-55.56,231.0795504
-82.43,-169.27,-55.67,31.9572042
-97.16,-197.63,-55.65,0
-70.18,-145.47,-55.67,26.76756433
-82.43,-169.27,-55.67,0
-59.04,-134.55,-55.67,15.59955128
-70.18,-145.47,-55.67,0
-131.54,-183.34,-61.97,0.8746427842
-130.86,-183.89,-61.96,2.894546597
-128.14,-184.03,-60.98,3.958509821
-124.54,-184.26,-59.35,3.118990221
-121.54,-184.41,-58.51,0.9415943925
-120.73,-184.89,-58.5,0
-115.83,-159.44,-61.54,0.9259049627
-115.01,-159.87,-61.54,2.380714179
-113.15,-160.76,-60.35,6.203337811
-107.9,-163.18,-58.1,1.690828199
-106.46,-163.76,-57.43,0.8854942123
-105.62,-164.04,-57.42,0
-118.14,-181.9,-58.36,4.034302914
-114.16,-182.06,-57.72,9.334077351
-104.97,-182.98,-56.37,4.559067887
-100.44,-183.29,-55.96,0
-105.62,-164.04,-57.42,0.99
-104.92,-164.74,-57.43,3.34326188
-101.81,-165.96,-57.3,6.349976378
-96.23,-168.73,-56.07,4.277627847
-92.38,-170.57,-55.77,0
-107.06,-193.13,-56.14,0.7908223568
-106.29,-193.31,-56.15,9.119544945
-98.15,-197.39,-55.64,1.018724693
-97.16,-197.63,-55.65,0
-92,-169.98,-55.76,0.8339064696
-91.23,-170.3,-55.77,4.378287336
-86.86,-170.05,-55.87,3.348268209
-83.56,-169.52,-55.67,1.157324501
-82.43,-169.27,-55.67,0
-83.89,-148.46,-55.67,0.9741663102
-82.92,-148.37,-55.67,4.697925074
-78.39,-147.23,-56.17,3.006226871
-75.44,-146.66,-56.07,4.418382057
-71.19,-145.52,-55.67,1.011236866
-70.18,-145.47,-55.67,0
-141.76,-174.88,-65,4.276365279
-138.19,-172.56,-64.6,5.554043572
-134.26,-168.64,-64.41,6.997406662
-129.31,-163.7,-64.17,5.830343043
-125.19,-159.58,-63.96,0.5662155067
-124.78,-159.19,-63.94,0
-124.78,-159.19,-63.94,13.09969084
-116.17,-149.32,-63.71,0
-135.57,-186.67,-62.38,0.9259049627
-136.39,-186.24,-62.38,6.235214511
-138.42,-180.47,-63.59,6.662717163
-141.76,-174.88,-65,0
-124.78,-159.17,-63.94,0.9284934033
-124.08,-159.78,-63.94,6.957528297
-117.54,-160.18,-61.6,0.9140021882
-116.81,-160.73,-61.6,0
-141.76,-174.88,-65,6.966218486
-144.64,-168.75,-66.63,6.553022204
-147.52,-162.96,-67.69,0.7603288762
-147.96,-162.34,-67.7,2.599730755
